job_id,skill,skill_category
5843766527,Databricks,Data Engineering
5680120020,Excel,Spreadsheet
5812614536,Power BI,BI / Visualization
5781956391,Machine Learning,Machine Learning
5781956391,Python,Programming
5781956391,SQL,Database / Query
5727098377,Looker,BI / Visualization
5727098377,Power BI,BI / Visualization
5727098377,Python,Programming
5727098377,SQL,Database / Query
5724515432,Excel,Spreadsheet
5831395731,SQL,Database / Query
5831395731,Tableau,BI / Visualization
5832798180,Excel,Spreadsheet
5832798180,Pandas,Programming
5832798180,Power BI,BI / Visualization
5832798180,Python,Programming
5832798180,SQL,Database / Query
5832798180,Tableau,BI / Visualization
5801030174,Azure,Cloud
5801030174,ELT,Data Engineering
5801030174,ETL,Data Engineering
5801030174,Python,Programming
5801030174,SQL,Database / Query
5801030174,SQL Server,Database / Query
5801030174,SSIS,Data Engineering
5781956424,SQL,Database / Query
5727143467,Python,Programming
5727143467,SQL,Database / Query
5800765376,Excel,Spreadsheet
5800765376,Power BI,BI / Visualization
5800765376,Statistics,Statistics / Analytics
5800765376,Tableau,BI / Visualization
5681009000,BigQuery,Cloud / Warehouse
5681009000,NumPy,Programming
5681009000,Pandas,Programming
5681009000,PostgreSQL,Database / Query
5681009000,Python,Programming
5681009000,SQL,Database / Query
5814494533,Hadoop,Data Engineering
5814494533,Python,Programming
5814494533,SQL,Database / Query
5814494533,Spark,Data Engineering
5777073838,Data Warehousing,Data Engineering
5777073838,ETL,Data Engineering
5777073838,Excel,Spreadsheet
5777073838,Power BI,BI / Visualization
5777073838,Python,Programming
5777073838,SQL,Database / Query
5777073838,Statistics,Statistics / Analytics
5777073838,Tableau,BI / Visualization
5768623778,ELT,Data Engineering
5768623778,ETL,Data Engineering
5768623778,SQL,Database / Query
5823107180,Power BI,BI / Visualization
5823107180,Tableau,BI / Visualization
5796414147,Statistics,Statistics / Analytics
5762286343,Excel,Spreadsheet
5762286343,Power BI,BI / Visualization
5762286343,Python,Programming
5762286343,SQL,Database / Query
5842590109,Machine Learning,Machine Learning
5796410882,Excel,Spreadsheet
5727163751,Alteryx,Analytics Tool
5727163751,Power BI,BI / Visualization
5727163751,SQL,Database / Query
5727163751,Snowflake,Cloud / Warehouse
5727163751,Spark,Data Engineering
5727163751,Tableau,BI / Visualization
5574398026,ELT,Data Engineering
5574398026,ETL,Data Engineering
5819856885,Machine Learning,Machine Learning
5728267279,Excel,Spreadsheet
5825770736,SQL,Database / Query
5825770736,Tableau,BI / Visualization
