city,state,job_count,hiring_companies,share_of_specific_city_jobs_pct
Bengaluru,Karnataka,1078,453,34.88673139158576
Hyderabad,Telangana,541,222,17.508090614886733
Mumbai,Maharashtra,350,165,11.326860841423949
Pune,Maharashtra,334,165,10.809061488673139
Gurugram,Haryana,204,97,6.601941747572816
Chennai,Tamil Nadu,155,84,5.016181229773463
Noida,Uttar Pradesh,132,53,4.271844660194175
Delhi,Delhi,38,27,1.2297734627831716
Ahmedabad,Gujarat,35,26,1.132686084142395
Thane,Maharashtra,21,8,0.6796116504854369
Kolkata,West Bengal,18,15,0.5825242718446602
Jaipur,Rajasthan,16,9,0.517799352750809
Vadodara,Gujarat,13,11,0.4207119741100324
Mohali,Punjab,10,7,0.3236245954692557
Coimbatore,Tamil Nadu,9,8,0.2912621359223301
Indianapolis,Unknown,6,5,0.1941747572815534
Ajmer,Rajasthan,5,5,0.16181229773462785
Kochi,Kerala,5,4,0.16181229773462785
Sahibzada Ajit Singh Nagar,Punjab,5,1,0.16181229773462785
Chandigarh,Chandigarh,4,2,0.12944983818770225
Maharashtra,Maharashtra,4,3,0.12944983818770225
Banglore,Unknown,3,3,0.0970873786407767
Bhubaneswar,Odisha,3,3,0.0970873786407767
Fertilizer Corporation Of India Township,Odisha,3,1,0.0970873786407767
Gandhinagar,Gujarat,3,2,0.0970873786407767
Goa,Unknown,3,3,0.0970873786407767
IN,Unknown,3,3,0.0970873786407767
Indore,Madhya Pradesh,3,3,0.0970873786407767
Surat,Gujarat,3,2,0.0970873786407767
Thiruvananthapuram,Kerala,3,2,0.0970873786407767
Uttar Pradesh,Uttar Pradesh,3,2,0.0970873786407767
Evansville,Unknown,2,2,0.06472491909385113
Gujarat,Gujarat,2,2,0.06472491909385113
India-Manesar,Unknown,2,1,0.06472491909385113
Karnataka,Karnataka,2,2,0.06472491909385113
Lucknow,Uttar Pradesh,2,1,0.06472491909385113
Patna,Unknown,2,2,0.06472491909385113
Rajkot,Gujarat,2,2,0.06472491909385113
Remote,Unknown,2,2,0.06472491909385113
Telangana,Telangana,2,2,0.06472491909385113
1401-G-India: ELCOT IT Bldg,Unknown,1,1,0.032362459546925564
Agra,Unknown,1,1,0.032362459546925564
Ahmadabad,Unknown,1,1,0.032362459546925564
Any,Unknown,1,1,0.032362459546925564
Attica,Unknown,1,1,0.032362459546925564
Aurangabad,Maharashtra,1,1,0.032362459546925564
Austin,Unknown,1,1,0.032362459546925564
Australia,Unknown,1,1,0.032362459546925564
Badgaon,Unknown,1,1,0.032362459546925564
Barcelona,Unknown,1,1,0.032362459546925564
Barrackpore,Unknown,1,1,0.032362459546925564
Bhopal,Madhya Pradesh,1,1,0.032362459546925564
Bloomington,Unknown,1,1,0.032362459546925564
Brownsburg,Unknown,1,1,0.032362459546925564
CAI22: Carrier - Indianapolis,Unknown,1,1,0.032362459546925564
California,Unknown,1,1,0.032362459546925564
Columbus,Unknown,1,1,0.032362459546925564
Corporate Headquarters - Roanoke,Unknown,1,1,0.032362459546925564
DLF CYBERCITY 12B,Unknown,1,1,0.032362459546925564
DLF Cybercity,Unknown,1,1,0.032362459546925564
Dehradun,Unknown,1,1,0.032362459546925564
Erode,Tamil Nadu,1,1,0.032362459546925564
Fort Wayne,Unknown,1,1,0.032362459546925564
GDC Financial District,Unknown,1,1,0.032362459546925564
Gwalior,Madhya Pradesh,1,1,0.032362459546925564
Haryana,Haryana,1,1,0.032362459546925564
Highland,Unknown,1,1,0.032362459546925564
IN - Remote,Unknown,1,1,0.032362459546925564
In Office - Philippines,Unknown,1,1,0.032362459546925564
India - HQ,Unknown,1,1,0.032362459546925564
Kalsi,Unknown,1,1,0.032362459546925564
Kanpur,Unknown,1,1,0.032362459546925564
Kingston,Unknown,1,1,0.032362459546925564
LaPorte,Unknown,1,1,0.032362459546925564
Mahasamund,Unknown,1,1,0.032362459546925564
Maneja,Gujarat,1,1,0.032362459546925564
Meghalaya,Unknown,1,1,0.032362459546925564
Melur,Unknown,1,1,0.032362459546925564
Mysore,Karnataka,1,1,0.032362459546925564
Mysore,Unknown,1,1,0.032362459546925564
Nagpur,Maharashtra,1,1,0.032362459546925564
Nagpur,Unknown,1,1,0.032362459546925564
Nashik,Maharashtra,1,1,0.032362459546925564
Noblesville,Unknown,1,1,0.032362459546925564
Office India,Unknown,1,1,0.032362459546925564
Pakistan,Unknown,1,1,0.032362459546925564
Panaji,Unknown,1,1,0.032362459546925564
Seri Lingampally,Unknown,1,1,0.032362459546925564
Shaikpet,Unknown,1,1,0.032362459546925564
Singapore,Unknown,1,1,0.032362459546925564
Sirsa,Haryana,1,1,0.032362459546925564
Sydney,Unknown,1,1,0.032362459546925564
Telangana (Sandoz),Telangana,1,1,0.032362459546925564
Teori,Unknown,1,1,0.032362459546925564
Thrissur,Kerala,1,1,0.032362459546925564
US - IN - Carmel (OPENLANE),Unknown,1,1,0.032362459546925564
US - Indianapolis,Unknown,1,1,0.032362459546925564
Visakhapatnam,Andhra Pradesh,1,1,0.032362459546925564
Whiteland,Unknown,1,1,0.032362459546925564
