city,state,job_count
Bengaluru,Karnataka,1073
Hyderabad,Telangana,540
Mumbai,Maharashtra,348
Pune,Maharashtra,334
Gurugram,Haryana,202
Chennai,Tamil Nadu,155
Noida,Uttar Pradesh,132
Delhi,Delhi,38
Ahmedabad,Gujarat,35
Thane,Maharashtra,21
Kolkata,West Bengal,18
Jaipur,Rajasthan,16
Vadodara,Gujarat,13
Mohali,Punjab,10
Coimbatore,Tamil Nadu,9
Indianapolis,Unknown,6
Ajmer,Rajasthan,5
Kochi,Kerala,5
Sahibzada Ajit Singh Nagar,Punjab,5
Chandigarh,Chandigarh,4
Maharashtra,Maharashtra,4
Banglore,Unknown,3
Bhubaneswar,Odisha,3
Fertilizer Corporation Of India Township,Odisha,3
Gandhinagar,Gujarat,3
Goa,Unknown,3
IN,Unknown,3
Indore,Madhya Pradesh,3
Surat,Gujarat,3
Thiruvananthapuram,Kerala,3
Uttar Pradesh,Uttar Pradesh,3
Evansville,Unknown,2
Gujarat,Gujarat,2
India-Manesar,Unknown,2
Karnataka,Karnataka,2
Lucknow,Uttar Pradesh,2
Patna,Unknown,2
Rajkot,Gujarat,2
Remote,Unknown,2
Telangana,Telangana,2
1401-G-India: ELCOT IT Bldg,Unknown,1
Agra,Unknown,1
Ahmadabad,Unknown,1
Any,Unknown,1
Attica,Unknown,1
Aurangabad,Maharashtra,1
Austin,Unknown,1
Australia,Unknown,1
Badgaon,Unknown,1
Barcelona,Unknown,1
Barrackpore,Unknown,1
Bhopal,Madhya Pradesh,1
Bloomington,Unknown,1
Brownsburg,Unknown,1
CAI22: Carrier - Indianapolis,Unknown,1
California,Unknown,1
Columbus,Unknown,1
Corporate Headquarters - Roanoke,Unknown,1
DLF CYBERCITY 12B,Unknown,1
DLF Cybercity,Unknown,1
Dehradun,Unknown,1
Erode,Tamil Nadu,1
Fort Wayne,Unknown,1
GDC Financial District,Unknown,1
Gwalior,Madhya Pradesh,1
Haryana,Haryana,1
Highland,Unknown,1
IN - Remote,Unknown,1
In Office - Philippines,Unknown,1
India - HQ,Unknown,1
Kalsi,Unknown,1
Kanpur,Unknown,1
Kingston,Unknown,1
LaPorte,Unknown,1
Mahasamund,Unknown,1
Maneja,Gujarat,1
Meghalaya,Unknown,1
Melur,Unknown,1
Mysore,Karnataka,1
Mysore,Unknown,1
Nagpur,Maharashtra,1
Nagpur,Unknown,1
Nashik,Maharashtra,1
Noblesville,Unknown,1
Office India,Unknown,1
Pakistan,Unknown,1
Panaji,Unknown,1
Seri Lingampally,Unknown,1
Shaikpet,Unknown,1
Singapore,Unknown,1
Sirsa,Haryana,1
Sydney,Unknown,1
Telangana (Sandoz),Telangana,1
Thrissur,Kerala,1
US - IN - Carmel (OPENLANE),Unknown,1
US - Indianapolis,Unknown,1
Visakhapatnam,Andhra Pradesh,1
Whiteland,Unknown,1
