company_name,job_count,role_families,specific_cities
Amazon,134,5,4
Genpact,116,6,9
EXL,82,6,7
Amgen,80,8,1
JPMorganChase,78,9,3
Accenture,69,4,4
Citigroup,65,10,5
Barclays,62,8,5
Acura Solution,31,4,8
Citi,29,10,6
Capco,28,4,3
pwc,28,6,5
American Express,26,4,2
Ecolab,26,3,2
ABB,21,3,1
Jobgether,21,6,0
Guidehouse,19,2,2
People First Consultants,19,5,4
PricewaterhouseCoopers,19,6,0
Luxoft,18,3,6
Thermo Fisher Scientific,18,3,1
Cognizant,17,3,5
Paytm,17,5,3
State Street,17,5,4
Dentsu,16,4,3
Cigna Group,15,4,2
Novartis,15,4,1
TriNet,15,5,1
Financial Services,14,3,0
Fiserv,14,3,1
Hitachi,14,4,2
Mantras2Success,14,4,6
SkySun,14,2,3
Bajaj Finance,13,2,0
FedEx,13,5,3
Hitachi Energy,13,4,5
Invesco,13,5,1
"NTT America, Inc.",13,6,4
NextHire,13,3,4
Zensar Technologies,13,3,1
Roche,12,3,3
Allegiance Benefit Plan Management,11,4,2
Goldman Sachs,11,2,3
Happiest Resume,11,2,4
Mastercard,11,5,3
Medtronic,11,2,1
NielsenIQ,11,3,3
Wells Fargo Bank,11,3,0
Ameriprise Financial,10,5,2
Broadridge,10,2,2
Cohere Health,10,5,1
Cushman & Wakefield,10,3,3
Deutsche Bank,10,6,2
Elsevier,10,1,3
KPMG Ukraine,10,3,4
Kroll,10,3,3
NetApp,10,3,1
Okta,10,3,1
Parexel,10,4,1
RECEX,10,3,5
TestHiring,10,3,5
mufgub,10,3,1
ASSPL - Karnataka,9,2,2
Honeywell,9,2,3
MUFG Pension & Market Services,9,3,0
Mitsubishi UFJ Financial Group,9,3,0
Synchrony,9,3,2
Wells Fargo,9,4,2
db,9,5,3
Airbus,8,1,0
Caterpillar Inc.,8,3,1
Clarivate,8,3,1
Conduent,8,2,2
Kotak Mahindra Bank,8,3,2
MM Staffing & Career Consultants,8,2,2
Mancraft Consulting,8,3,4
MiniMed,8,2,1
NatWest Group,8,3,2
Northern Trust,8,4,2
Quality Engineering,8,2,0
Sanofi,8,3,1
Sprinklr,8,4,3
Talent Leads Consultants,8,2,1
WSP,8,6,2
Weekday AI,8,3,5
mdtkangaroo,8,2,1
Ameriprise,7,4,0
Avery Dennison,7,2,2
BSR & Co,7,3,4
Bristol Myers Squibb,7,4,1
CSB Bank,7,3,3
Colgate-Palmolive,7,1,1
Cummins,7,4,2
Cummins Inc.,7,3,1
Emerson,7,2,3
GSK,7,5,1
HP,7,3,1
ICE,7,3,2
MUFG Global Service,7,2,2
Moody's,7,5,2
Novo Nordisk,7,2,1
Photon,7,2,0
Photon Group,7,2,0
SimCorp,7,2,1
SopraSteria1,7,2,1
Syneos Health,7,3,2
UnitedHealth Group,7,3,3
Zensar,7,2,0
ADCI - BLR 14 SEZ - F07,6,3,2
Albertsons Companies India,6,2,1
Capgemini,6,3,0
Caterpillar,6,3,1
Cisco,6,3,1
Commonwealth Bank of Australia,6,2,1
Cornerstone OnDemand,6,2,2
Criteo,6,2,1
CrowdStrike,6,2,1
DTCC,6,3,1
Headout,6,2,1
Hewlett Packard Enterprise,6,2,2
Ingram Micro,6,2,2
OneMagnify,6,2,1
Palo Alto Networks,6,1,1
SWISS RE,6,3,2
Stryker,6,1,1
Talent Pro,6,3,2
Thomson Reuters,6,3,2
nVent,6,3,1
ADCI - Karnataka,5,1,2
Adani Group,5,3,3
Addepar,5,2,1
Bosch Group,5,3,2
Cencora,5,3,1
Eaton Corporation,5,3,1
Egon Zehnder,5,2,1
Equitas Small Finance Bank,5,2,0
Ethos Life,5,3,1
Eurofins,5,2,1
Finkraft,5,2,1
Firstsource,5,3,3
Franklin Templeton,5,2,1
GCC India,5,1,1
Havas,5,2,2
Hunarstreet Technologies Pvt Ltd,5,1,3
InTouch CX,5,4,1
Johnson & Johnson,5,3,2
Lonza,5,2,1
Merck,5,2,1
Merkle Science,5,2,2
Micron,5,2,1
Milestone Online Technology,5,3,4
Morgan Stanley,5,4,1
Morningstar,5,3,1
Neolytix,5,2,1
PerkinElmer,5,2,3
PhonePe,5,3,1
Rubrik,5,4,1
Scan-IT,5,2,2
Sia,5,2,1
The Cigna Group,5,3,2
The Nielsen Company,5,2,2
UPS,5,4,0
Vrinda International,5,2,2
WSP USA,5,5,2
WSP in Africa,5,5,1
We Search,5,2,4
Yubi,5,3,3
Zeta Global,5,3,1
Zynga,5,1,1
cba,5,2,1
ecsme,5,2,1
lplfinancial,5,1,1
ADCI - Karnataka - A66,4,2,1
ADCI HYD 13 SEZ,4,1,1
Adani,4,2,1
Apex Group,4,3,1
Apna,4,3,1
AppsForBharat,4,3,0
Arcadis,4,1,1
Aspyra Hr Services,4,1,3
AtkinsRéalis,4,1,1
CGI,4,2,2
CIBC India,4,2,1
Clean Harbors,4,1,1
Clearwater Analytics,4,3,2
CoverGo,4,1,1
DC Consultants,4,3,3
Danaher Corporation,4,1,2
Dataeconomy,4,2,3
Episode Six,4,1,1
GLOBALFOUNDRIES,4,3,1
Gartner,4,2,1
Goodyear,4,1,1
HEXAWARE,4,1,0
Haleon,4,3,1
Hewlett Packard (HP),4,2,2
In Touch,4,4,1
Insurity,4,2,1
JLL,4,2,1
KPMG,4,3,4
Kadel Labs,4,2,3
Kraft Heinz,4,1,1
Laminaar Aviation Infotech India,4,1,1
Lowe s,4,1,1
MAXGEN TECHNOLOGIES PRIVATE LIMITED,4,2,0
Micron Technology,4,2,1
Nextpower,4,3,1
Nielsen,4,2,2
Portcast,4,1,2
Qualitykiosk Technologies Private Limited,4,1,3
RELX,4,1,4
RELX INC,4,1,3
RTX,4,3,1
Right Advisors,4,1,2
SLB,4,2,3
Schneider Electric,4,1,1
Smiths Detection Group,4,1,1
TE Connectivity,4,3,1
TRG Screen,4,1,1
Teamlease Digital Private Limited,4,2,0
Teleperformance,4,3,0
Tide,4,2,2
Trigent Software Private Limited,4,3,1
Wissen Technology,4,2,2
Worldpay,4,2,2
theapexgroup,4,2,2
weekday-1,4,3,3
2028 Takeda Innovations India,3,1,0
ASSPL - Karnataka - B56,3,1,1
Aeries Technology,3,2,1
Albemarle,3,1,2
Align Technology,3,2,3
Allegion,3,1,1
Altera Corporation,3,1,1
Amazon FinOps,3,1,0
Amex,3,3,2
Arcadia,3,1,1
Arcana Analytics,3,1,1
Arrow,3,2,1
AstraZeneca,3,2,2
Avantor,3,2,1
BNP Paribas,3,1,2
Black Box,3,2,1
BlackRock,3,1,2
Brillminds Global,3,1,1
Central Business Solutions,3,2,0
Ciklum,3,2,0
Cognex,3,1,1
Cognex Corporation,3,1,1
Colruyt Group,3,1,2
Columbia Sportswear,3,2,1
Consilio,3,3,1
DBS Bank,3,2,0
Ebizon,3,1,2
FNZ,3,2,2
Fidelity International,3,1,1
First Advantage,3,2,1
Flexera Software,3,1,1
Foundever,3,3,2
GetixHealth,3,2,1
Glance,3,1,1
Greif,3,2,1
HSBC,3,1,1
Hexaware Technologies,3,1,0
Huron,3,2,2
Hyatt,3,1,2
JB Pointdexter,3,1,1
Kyndryl,3,1,1
London Stock Exchange Group,3,3,0
MSD,3,2,1
Madison Logic,3,2,1
McCormick & Company,3,3,1
Modernizing Medicine,3,2,1
Multitude,3,1,1
Müller`s Solutions,3,1,0
NEC Software Solutions,3,1,1
NICE,3,2,1
NNE,3,2,0
Nasdaq,3,2,2
New Era Technology,3,2,1
Oceaneering,3,2,1
Onclusive,3,2,1
Oracle,3,2,1
Payoneer,3,2,1
Peak Hire Solutions,3,3,1
Post A Resume,3,3,2
Precision Medicine Group,3,2,1
Prudential,3,2,1
Quantiphi,3,1,1
Ralph Lauren,3,2,1
Redwood Software,3,1,1
Regnology,3,1,1
Rentokil Initial,3,2,0
Rippling,3,3,1
Risosu Consulting LLP,3,2,1
Russell Investments,3,3,1
Sandisk,3,2,1
Sandoz,3,2,1
Sanofi: R&D-Driven and AI-Powered Biopharmaceutical Company,3,2,1
Smarsh,3,1,1
Solventum,3,2,0
Sparix Global.,3,2,0
Staffnixcom,3,2,3
Strada,3,2,1
TELUS Digital AI Data Solutions,3,1,3
Takeda,3,1,1
Talisman HR Solutions,3,2,1
TaskUs,3,1,1
Tech Smcsquared Gcc,3,2,1
Techwave,3,2,1
ThoughtFocus,3,1,1
Topcoder,3,3,1
Trelleborg Group,3,2,0
Trellix,3,1,1
Tribute Technology,3,3,1
Tsaaro,3,2,3
Turing Jobs Feed,3,2,1
Unisys,3,2,1
Vodafone,3,2,1
WTW,3,2,2
Wahed,3,2,1
ZAGENO,3,1,1
Zoetis,3,2,1
dbs,3,2,2
dunnhumby,3,2,1
emagine,3,2,2
emagine Polska,3,2,3
nextracker,3,2,1
travelhrportal,3,3,2
2coms,2,1,1
ACKO,2,1,1
ADCI - BLR 14 SEZ,2,1,1
ADCI HYD 20 SEZ,2,1,1
ADP Private Limited,2,2,1
ADTM Adenza Technology de Mexico S de RL de CV,2,1,2
ARTECH INFOSYSTEMS PRIVATE LIMITED,2,2,2
AVEVA,2,1,1
Accellor,2,1,1
Accenture India Private Limited,2,1,1
Acme Services Private Limited,2,2,2
Acumen360 Consulting & HR Solutions,2,2,2
AddWeb Solution,2,1,1
Adient,2,1,1
Adobe,2,1,1
Advarra,2,1,1
Agilent Technologies,2,2,1
Agiliad Technologies,2,2,2
Aliqan Services,2,1,2
All Generation Tech,2,2,1
Alpha Sense,2,2,0
AlphaSense India,2,2,0
Altera Semiconductor,2,1,1
Amazon Dev Center India - Hyderabad,2,2,1
AmerisourceBergen,2,2,1
Amherst College,2,2,0
Analog Devices,2,1,1
Anaplan,2,1,1
Anchanto,2,1,1
Appian,2,1,1
Applied Information Sciences,2,1,0
Applied Materials,2,2,1
Apraava Renewable Energy,2,1,2
Ara Resources Private Limited,2,1,2
Are you in?,2,2,1
Arrow Electronics,2,2,1
Atlys,2,1,1
Avaloq,2,1,1
Avnet,2,2,1
Azira,2,1,1
BNY Mellon International Operations India Private Limited,2,2,2
BP,2,1,1
Baker Tilly,2,1,1
Blackbaud,2,1,1
Blend 360,2,1,1
Blink Health,2,1,0
Bread Financial,2,2,1
CODEMONK,2,1,1
CWAN,2,2,2
Candescent,2,1,1
Capita,2,1,1
Caratlane,2,1,1
Care Access,2,1,0
Career Creed HR Services,2,2,2
Carrier,2,2,1
Carrier Corporation,2,2,2
Carrier Global,2,2,2
CertifyOS,2,1,1
Chevron,2,1,1
Chubb,2,1,1
Circle K Stores,2,2,0
ClearView Healthcare Partners,2,1,1
CloudSEK,2,1,1
Colgate-Palmolive Company,2,1,1
Comcast,2,1,1
Community Empowerment Lab,2,1,1
Computershare,2,1,1
Conduent Business Services India LLP,2,2,2
Consilio LLC,2,1,1
Coupang Internal,2,2,1
Criteo Technology,2,2,1
Cyncly,2,1,1
DNEG,2,1,0
DP World,2,1,1
DXC Technology,2,1,1
Danaher,2,1,1
Davies,2,1,1
Delhi,2,1,1
Deloitte,2,1,1
Deutsche Börse Group,2,1,1
Diebold Nixdorf,2,2,2
DrinkPrime,2,2,1
Dynarex Technologies PvtLtd,2,1,1
ENH iSecure,2,1,1
ERM,2,1,1
EVERSANA,2,1,1
EXC Managed Services,2,2,1
EY,2,2,1
Easemytrip com,2,1,2
Ebizon Net Info,2,1,1
Elastic,2,1,1
Emerson Electric,2,1,2
Emirates NBD,2,1,0
Empower Retirement,2,1,0
Epicor,2,1,1
Episode Six US,2,1,1
EquiLend,2,1,1
Equifax,2,1,1
Esyasoft,2,1,2
Evnek,2,1,1
ExcelSoft Technologies,2,1,1
Exioms Technology,2,1,2
Experis,2,2,1
Expleo,2,1,2
FM India,2,1,1
FOURESS SYNERGY,2,1,0
FairMoney,2,1,0
FinThrive,2,2,0
Flatirons Solutions,2,1,1
Flix,2,1,1
Fortive,2,1,1
Fortrea,2,1,1
Freyr Energy,2,2,1
GEA,2,1,1
Game District,2,2,0
General Mills,2,1,1
Genl Mills India Priv,2,2,0
Graviton Research Capital,2,1,0
Graviton Research Capital LLP,2,1,1
Guardian Life,2,1,1
Guidewire Software,2,1,1
Harmony United Psychiatric Care,2,1,1
Harris Computer,2,1,0
Harsco India Private Limited,2,2,1
Health Catalyst,2,1,1
Hevo Data,2,1,1
Hilti,2,2,0
Hilton,2,1,1
Hirestar job Bank,2,2,1
IBS Software,2,1,0
IFF,2,2,1
Indegene,2,1,1
Indiana University Health,2,2,1
Informa Group,2,1,1
Informa Group Plc,2,1,1
Insight Global,2,2,1
Instawork,2,1,1
Intuit,2,1,1
JB Poindexter (India) Private Limited,2,1,0
Jade Global,2,1,2
JazzX AI,2,1,1
Johnson Controls,2,1,1
JumpCloud,2,1,0
KLDiscovery,2,1,0
Kaseya,2,1,1
Kayzen,2,1,0
Khan Academy,2,1,1
Kimberly-Clark,2,1,1
Kissht,2,2,1
Kong,2,1,1
Kuehne+Nagel,2,2,2
LRN Corporation,2,1,1
LSEG,2,2,1
LUXASIA,2,1,1
Lam Research,2,2,1
Landor,2,1,1
LaunchDarkly,2,1,0
Levi Strauss & Co.,2,1,1
LexisNexis Risk Solutions,2,1,1
LogicMonitor,2,1,1
Logitech,2,1,1
Lowes Services India Private limited,2,1,1
Loyalty Juggernaut,2,2,1
"Loyalty Juggernaut, Inc",2,2,1
MMS,2,1,1
MRI,2,2,1
Magna International,2,1,1
Marlabs,2,2,1
Marmon Holdings,2,1,1
Marriott,2,1,2
Marriott Hotels Resorts,2,1,2
Marriott International,2,1,2
Mastercard US,2,2,2
McDonalds in India,2,2,1
Medline,2,2,1
MerQube,2,1,1
MiQ,2,1,1
Michelin,2,2,1
MillerKnoll,2,1,1
Moniepoint,2,1,1
Mumbai Rozgaar,2,1,1
NCR Vyoix,2,1,2
Nalco Water,2,2,2
"Nasdaq: Stock Market, Data Updates, Reports & News",2,2,1
Nayara Energy,2,1,1
Ness Digital Engineering,2,1,1
NewRocket,2,1,0
Nium,2,1,1
OIP Insurtech,2,1,1
ORBIT & SKYLINE,2,1,1
Ocasa,2,1,1
OctagoTech - Odoo Partner USA,2,1,1
Officeworks,2,1,1
OsbIndia,2,2,1
PS Human Resources and Consultants,2,1,1
PVH,2,1,1
Pattern,2,1,1
Portage Point Partners,2,1,1
Pplanet HR Services,2,2,1
Priceline,2,1,1
Prodigal,2,1,1
Pure Storage,2,2,1
Quess Corp Limited,2,1,2
