company_name,job_count
Amazon,134
Genpact,116
EXL,82
Amgen,80
JPMorganChase,78
Accenture,69
Citigroup,65
Barclays,62
Acura Solution,31
Citi,29
Capco,28
pwc,28
American Express,26
Ecolab,26
ABB,21
Jobgether,21
Guidehouse,19
People First Consultants,19
PricewaterhouseCoopers,19
Luxoft,18
Thermo Fisher Scientific,18
Cognizant,17
Paytm,17
State Street,17
Dentsu,16
Cigna Group,15
Novartis,15
TriNet,15
Financial Services,14
Fiserv,14
Hitachi,14
Mantras2Success,14
SkySun,14
Bajaj Finance,13
FedEx,13
Hitachi Energy,13
Invesco,13
"NTT America, Inc.",13
NextHire,13
Zensar Technologies,13
Roche,12
Allegiance Benefit Plan Management,11
Goldman Sachs,11
Happiest Resume,11
Mastercard,11
Medtronic,11
NielsenIQ,11
Wells Fargo Bank,11
Ameriprise Financial,10
Broadridge,10
Cohere Health,10
Cushman & Wakefield,10
Deutsche Bank,10
Elsevier,10
KPMG Ukraine,10
Kroll,10
NetApp,10
Okta,10
Parexel,10
RECEX,10
mufgub,10
ASSPL - Karnataka,9
Honeywell,9
MUFG Pension & Market Services,9
Mitsubishi UFJ Financial Group,9
Synchrony,9
Wells Fargo,9
db,9
Airbus,8
Caterpillar Inc.,8
Clarivate,8
Conduent,8
Kotak Mahindra Bank,8
MM Staffing & Career Consultants,8
Mancraft Consulting,8
MiniMed,8
NatWest Group,8
Northern Trust,8
Quality Engineering,8
Sanofi,8
Sprinklr,8
Talent Leads Consultants,8
WSP,8
Weekday AI,8
mdtkangaroo,8
Ameriprise,7
Avery Dennison,7
BSR & Co,7
Bristol Myers Squibb,7
CSB Bank,7
Colgate-Palmolive,7
Cummins,7
Cummins Inc.,7
Emerson,7
GSK,7
HP,7
ICE,7
MUFG Global Service,7
Moody's,7
Novo Nordisk,7
Photon,7
Photon Group,7
SimCorp,7
SopraSteria1,7
Syneos Health,7
UnitedHealth Group,7
Zensar,7
ADCI - BLR 14 SEZ - F07,6
Albertsons Companies India,6
Capgemini,6
Caterpillar,6
Cisco,6
Commonwealth Bank of Australia,6
Cornerstone OnDemand,6
Criteo,6
CrowdStrike,6
DTCC,6
Headout,6
Hewlett Packard Enterprise,6
Ingram Micro,6
OneMagnify,6
Palo Alto Networks,6
SWISS RE,6
Stryker,6
Talent Pro,6
Thomson Reuters,6
nVent,6
ADCI - Karnataka,5
Adani Group,5
Addepar,5
Bosch Group,5
Cencora,5
Eaton Corporation,5
Egon Zehnder,5
Equitas Small Finance Bank,5
Ethos Life,5
Eurofins,5
Finkraft,5
Firstsource,5
Franklin Templeton,5
GCC India,5
Havas,5
Hunarstreet Technologies Pvt Ltd,5
InTouch CX,5
Johnson & Johnson,5
Lonza,5
Merck,5
Merkle Science,5
Micron,5
Milestone Online Technology,5
Morgan Stanley,5
Morningstar,5
Neolytix,5
PerkinElmer,5
PhonePe,5
Rubrik,5
Scan-IT,5
Sia,5
The Cigna Group,5
The Nielsen Company,5
UPS,5
Vrinda International,5
WSP USA,5
WSP in Africa,5
We Search,5
Yubi,5
Zeta Global,5
Zynga,5
cba,5
ecsme,5
lplfinancial,5
ADCI - Karnataka - A66,4
ADCI HYD 13 SEZ,4
Adani,4
Apex Group,4
Apna,4
AppsForBharat,4
Arcadis,4
Aspyra Hr Services,4
AtkinsRéalis,4
CGI,4
CIBC India,4
Clean Harbors,4
Clearwater Analytics,4
CoverGo,4
DC Consultants,4
Danaher Corporation,4
Dataeconomy,4
Episode Six,4
GLOBALFOUNDRIES,4
Gartner,4
Goodyear,4
HEXAWARE,4
Haleon,4
Hewlett Packard (HP),4
In Touch,4
Insurity,4
JLL,4
KPMG,4
Kadel Labs,4
Kraft Heinz,4
Laminaar Aviation Infotech India,4
Lowe s,4
MAXGEN TECHNOLOGIES PRIVATE LIMITED,4
Micron Technology,4
Nextpower,4
Nielsen,4
Portcast,4
Qualitykiosk Technologies Private Limited,4
RELX,4
RELX INC,4
RTX,4
Right Advisors,4
SLB,4
Schneider Electric,4
Smiths Detection Group,4
TE Connectivity,4
TRG Screen,4
Teamlease Digital Private Limited,4
Teleperformance,4
Tide,4
Trigent Software Private Limited,4
Wissen Technology,4
Worldpay,4
theapexgroup,4
weekday-1,4
2028 Takeda Innovations India,3
ASSPL - Karnataka - B56,3
Aeries Technology,3
Albemarle,3
Align Technology,3
Allegion,3
Altera Corporation,3
Amazon FinOps,3
Amex,3
Arcadia,3
Arcana Analytics,3
Arrow,3
AstraZeneca,3
Avantor,3
BNP Paribas,3
Black Box,3
BlackRock,3
Brillminds Global,3
Central Business Solutions,3
Ciklum,3
Cognex,3
Cognex Corporation,3
Colruyt Group,3
Columbia Sportswear,3
Consilio,3
DBS Bank,3
Ebizon,3
FNZ,3
Fidelity International,3
First Advantage,3
Flexera Software,3
Foundever,3
GetixHealth,3
Glance,3
Greif,3
HSBC,3
Hexaware Technologies,3
Huron,3
Hyatt,3
JB Pointdexter,3
Kyndryl,3
London Stock Exchange Group,3
MSD,3
Madison Logic,3
McCormick & Company,3
Modernizing Medicine,3
Multitude,3
Müller`s Solutions,3
NEC Software Solutions,3
NICE,3
NNE,3
Nasdaq,3
New Era Technology,3
Oceaneering,3
Onclusive,3
Oracle,3
Payoneer,3
Peak Hire Solutions,3
Post A Resume,3
Precision Medicine Group,3
Prudential,3
Quantiphi,3
Ralph Lauren,3
Redwood Software,3
Regnology,3
Rentokil Initial,3
Rippling,3
Risosu Consulting LLP,3
Russell Investments,3
Sandisk,3
Sandoz,3
Sanofi: R&D-Driven and AI-Powered Biopharmaceutical Company,3
Smarsh,3
Solventum,3
Sparix Global.,3
Staffnixcom,3
Strada,3
TELUS Digital AI Data Solutions,3
