experience_band,job_count,pct_of_all_jobs,pct_of_labeled_jobs
0–1,36,0.8897676717745922,2.522775052557814
1–2,113,2.7928818586258033,7.918710581639804
2–3,245,6.055363321799308,17.168885774351786
3–4,305,7.538309441423628,21.37351086194814
4–5,144,3.5590706870983686,10.091100210231255
5–6,289,7.142857142857142,20.25227750525578
6–7,87,2.1502718734552646,6.0967063770147165
7–8,68,1.680672268907563,4.7652417659425375
8–9,79,1.9525457241720217,5.536089698668535
9–10,5,0.1235788433020267,0.35038542396636296
10–15,52,1.2852199703410776,3.6440084092501754
15+,4,0.09886307464162135,0.2803083391730904
Not Specified,2619,64.73059812160157,
