period,skill,skill_jobs,period_jobs,skill_share_pct
Pre-90-day period,A/B Testing,6,555,1.0810810810810811
Pre-90-day period,AWS,10,555,1.8018018018018018
Pre-90-day period,Airflow,1,555,0.18018018018018017
Pre-90-day period,Alteryx,4,555,0.7207207207207207
Pre-90-day period,Azure,18,555,3.2432432432432434
Pre-90-day period,BigQuery,2,555,0.36036036036036034
Pre-90-day period,DAX,9,555,1.6216216216216217
Pre-90-day period,Data Modeling,22,555,3.963963963963964
Pre-90-day period,Data Warehousing,6,555,1.0810810810810811
Pre-90-day period,Databricks,6,555,1.0810810810810811
Pre-90-day period,ELT,4,555,0.7207207207207207
Pre-90-day period,ETL,19,555,3.423423423423423
Pre-90-day period,Excel,67,555,12.072072072072073
Pre-90-day period,Forecasting,23,555,4.1441441441441444
Pre-90-day period,GCP,6,555,1.0810810810810811
Pre-90-day period,Git,3,555,0.5405405405405406
Pre-90-day period,Hadoop,1,555,0.18018018018018017
Pre-90-day period,Jira,30,555,5.405405405405405
Pre-90-day period,Looker,9,555,1.6216216216216217
Pre-90-day period,Machine Learning,15,555,2.7027027027027026
Pre-90-day period,MySQL,3,555,0.5405405405405406
Pre-90-day period,NumPy,4,555,0.7207207207207207
Pre-90-day period,Oracle,2,555,0.36036036036036034
Pre-90-day period,Pandas,5,555,0.9009009009009009
Pre-90-day period,PostgreSQL,3,555,0.5405405405405406
Pre-90-day period,Power BI,66,555,11.891891891891893
Pre-90-day period,Power Query,4,555,0.7207207207207207
Pre-90-day period,Python,54,555,9.72972972972973
Pre-90-day period,Qlik,2,555,0.36036036036036034
Pre-90-day period,Redshift,1,555,0.18018018018018017
Pre-90-day period,Regression,4,555,0.7207207207207207
Pre-90-day period,SAP,29,555,5.225225225225225
Pre-90-day period,SAS,3,555,0.5405405405405406
Pre-90-day period,SQL,91,555,16.396396396396394
Pre-90-day period,SQL Server,6,555,1.0810810810810811
Pre-90-day period,Snowflake,14,555,2.5225225225225225
Pre-90-day period,Spark,9,555,1.6216216216216217
Pre-90-day period,Statistics,21,555,3.783783783783784
Pre-90-day period,Tableau,35,555,6.306306306306306
Pre-90-day period,dbt,2,555,0.36036036036036034
Recent 90 days,A/B Testing,68,3491,1.94786594099112
Recent 90 days,AWS,131,3491,3.752506445144658
Recent 90 days,Airflow,13,3491,0.3723861357777141
Recent 90 days,Alteryx,56,3491,1.6041248925809226
Recent 90 days,Azure,145,3491,4.153537668289888
Recent 90 days,BigQuery,31,3491,0.8879977083930106
Recent 90 days,DAX,56,3491,1.6041248925809226
Recent 90 days,Data Modeling,170,3491,4.8696648524778
Recent 90 days,Data Warehousing,100,3491,2.864508736751647
Recent 90 days,Databricks,99,3491,2.8358636493841307
Recent 90 days,ELT,26,3491,0.7447722715554282
Recent 90 days,ETL,132,3491,3.781151532512174
Recent 90 days,Excel,559,3491,16.01260383844171
Recent 90 days,Forecasting,173,3491,4.955600114580349
Recent 90 days,GCP,57,3491,1.632769979948439
Recent 90 days,Git,74,3491,2.119736465196219
Recent 90 days,Hadoop,22,3491,0.6301919220853625
Recent 90 days,Jira,197,3491,5.643082211400745
Recent 90 days,Looker,79,3491,2.262961902033801
Recent 90 days,Machine Learning,143,3491,4.096247493554856
Recent 90 days,MySQL,11,3491,0.3150959610426812
Recent 90 days,NumPy,23,3491,0.6588370094528788
Recent 90 days,Oracle,17,3491,0.48696648524778
Recent 90 days,Pandas,40,3491,1.1458034947006588
Recent 90 days,PostgreSQL,14,3491,0.40103122314523065
Recent 90 days,Power BI,524,3491,15.010025780578632
Recent 90 days,Power Query,52,3491,1.4895445431108565
Recent 90 days,Python,474,3491,13.577771412202807
Recent 90 days,Qlik,40,3491,1.1458034947006588
Recent 90 days,R,6,3491,0.17187052420509882
Recent 90 days,Redshift,27,3491,0.7734173589229447
Recent 90 days,Regression,57,3491,1.632769979948439
Recent 90 days,SAP,178,3491,5.098825551417932
Recent 90 days,SAS,43,3491,1.2317387568032083
Recent 90 days,SPSS,6,3491,0.17187052420509882
Recent 90 days,SQL,759,3491,21.741621311945
Recent 90 days,SQL Server,44,3491,1.260383844170725
Recent 90 days,SSIS,13,3491,0.3723861357777141
Recent 90 days,SciPy,5,3491,0.14322543683758235
Recent 90 days,Snowflake,118,3491,3.3801203093669434
Recent 90 days,Spark,75,3491,2.1483815525637353
Recent 90 days,Statistics,334,3491,9.5674591807505
Recent 90 days,Tableau,388,3491,11.11429389859639
Recent 90 days,dbt,27,3491,0.7734173589229447
