role_family,job_count,market_share_pct
Business Analyst,1546,38.21057834898665
Data Analyst,836,20.662382600098862
Other Analyst,388,9.589718240237271
Operations / Process Analytics,330,8.156203657933762
BI Analyst,178,4.39940682155215
Risk / Quantitative Analytics,175,4.325259515570934
Product Analyst,131,3.237765694513099
Reporting / MIS Analyst,118,2.91646070192783
Data Quality / Governance,116,2.8670291646070196
Pricing / Revenue / Commercial,88,2.1749876421156698
Analytics Analyst,57,1.4087988136431042
Marketing Analytics,34,0.8403361344537815
Performance / Strategy,32,0.7909045971329708
Insights / Customer Analytics,17,0.42016806722689076
