role_family,job_count,market_share_pct,cumulative_share_pct
Business Analyst,1541,38.1908302354399,38.1908302354399
Data Analyst,831,20.59479553903346,58.78562577447336
Other Analyst,388,9.615861214374226,68.40148698884758
Operations / Process Analytics,330,8.178438661710038,76.57992565055761
BI Analyst,178,4.411400247831475,80.99132589838909
Risk / Quantitative Analytics,175,4.337050805452292,85.32837670384139
Product Analyst,131,3.2465923172242874,88.57496902106567
Reporting / MIS Analyst,118,2.9244114002478314,91.4993804213135
Data Quality / Governance,116,2.874845105328377,94.37422552664188
Pricing / Revenue / Commercial,88,2.18091697645601,96.55514250309788
Analytics Analyst,56,1.3878562577447335,97.94299876084261
Marketing Analytics,34,0.842627013630731,98.78562577447335
Performance / Strategy,32,0.7930607187112764,99.57868649318462
Insights / Customer Analytics,17,0.4213135068153655,99.99999999999999
