skill,skill_category,job_count,pct_of_all_jobs,pct_of_skill_tagged_jobs
SQL,Database / Query,850,21.008403361344538,48.59919954259577
Excel,Spreadsheet,626,15.47207118141374,35.79188107489995
Power BI,BI / Visualization,590,14.58230350963915,33.73356203544883
Python,Programming,528,13.049925852694019,30.18867924528302
Tableau,BI / Visualization,423,10.454770143351459,24.1852487135506
Statistics,Statistics / Analytics,355,8.774097874443894,20.29731275014294
Jira,Collaboration Tool,227,5.610479485912013,12.978845054316752
SAP,Enterprise Tool,207,5.116164112703905,11.83533447684391
Forecasting,Statistics / Analytics,196,4.844290657439446,11.206403659233848
Data Modeling,Data Engineering,192,4.745427582797825,10.977701543739279
Azure,Cloud,163,4.02867029164607,9.319611206403659
Machine Learning,Machine Learning,158,3.9050914483440433,9.033733562035449
ETL,Data Engineering,151,3.732081067721206,8.633504859919954
AWS,Cloud,141,3.4849233811171527,8.061749571183533
Snowflake,Cloud / Warehouse,132,3.2624814631735046,7.547169811320755
Data Warehousing,Data Engineering,106,2.619871478002966,6.0606060606060606
Databricks,Data Engineering,105,2.5951557093425603,6.003430531732419
Looker,BI / Visualization,88,2.1749876421156698,5.031446540880504
Spark,Data Engineering,84,2.0761245674740483,4.802744425385934
Git,Developer Tool,77,1.9031141868512111,4.40251572327044
A/B Testing,Statistics / Analytics,74,1.828966880869995,4.230989136649514
DAX,BI / Visualization,65,1.6065249629263472,3.7164093767867357
GCP,Cloud,63,1.5570934256055362,3.6020583190394513
Regression,Statistics / Analytics,61,1.5076618882847257,3.487707261292167
Alteryx,Analytics Tool,60,1.4829461196243203,3.430531732418525
Power Query,BI / Visualization,56,1.384083044982699,3.201829616923957
SQL Server,Database / Query,50,1.2357884330202669,2.858776443682104
SAS,Statistics / Analytics,46,1.1369253583786456,2.630074328187536
Pandas,Programming,45,1.1122095897182402,2.5728987993138936
Qlik,BI / Visualization,42,1.0380622837370241,2.401372212692967
BigQuery,Cloud / Warehouse,33,0.8156203657933762,1.8867924528301887
ELT,Data Engineering,30,0.7414730598121602,1.7152658662092626
dbt,Data Engineering,29,0.7167572911517549,1.6580903373356204
Redshift,Cloud / Warehouse,28,0.6920415224913495,1.6009148084619784
NumPy,Programming,27,0.6673257538309442,1.5437392795883362
Hadoop,Data Engineering,23,0.5684626791893228,1.315037164093768
Oracle,Database / Query,19,0.46959960454770144,1.0863350485991996
PostgreSQL,Database / Query,17,0.42016806722689076,0.9719839908519153
Airflow,Data Engineering,14,0.34602076124567477,0.8004574042309892
MySQL,Database / Query,14,0.34602076124567477,0.8004574042309892
SSIS,Data Engineering,13,0.3213049925852694,0.7432818753573471
R,Programming,6,0.14829461196243204,0.34305317324185247
SPSS,Statistics / Analytics,6,0.14829461196243204,0.34305317324185247
SciPy,Programming,5,0.1235788433020267,0.2858776443682104
