skill,skill_category,job_count,share_of_all_jobs_pct,share_of_skill_tagged_jobs_pct
SQL,Database / Query,850,21.065675340768276,48.73853211009174
Excel,Spreadsheet,624,15.464684014869889,35.77981651376147
Power BI,BI / Visualization,586,14.522924411400249,33.60091743119266
Python,Programming,527,13.060718711276332,30.21788990825688
Tableau,BI / Visualization,420,10.408921933085502,24.08256880733945
Statistics,Statistics / Analytics,354,8.773234200743495,20.298165137614678
Jira,Collaboration Tool,227,5.625774473358117,13.01605504587156
SAP,Enterprise Tool,207,5.130111524163569,11.869266055045872
Forecasting,Statistics / Analytics,195,4.83271375464684,11.181192660550458
Data Modeling,Data Engineering,192,4.758364312267658,11.009174311926607
Azure,Cloud,163,4.039653035935563,9.346330275229358
Machine Learning,Machine Learning,158,3.9157372986369268,9.059633027522935
ETL,Data Engineering,151,3.7422552664188355,8.658256880733944
AWS,Cloud,141,3.494423791821561,8.0848623853211
Snowflake,Cloud / Warehouse,132,3.2713754646840147,7.568807339449542
Data Warehousing,Data Engineering,106,2.6270136307311027,6.077981651376147
Databricks,Data Engineering,105,2.6022304832713754,6.020642201834862
Looker,BI / Visualization,88,2.18091697645601,5.045871559633028
Spark,Data Engineering,84,2.0817843866171004,4.81651376146789
Git,Developer Tool,77,1.9083023543990087,4.415137614678899
A/B Testing,Statistics / Analytics,74,1.8339529120198266,4.2431192660550465
DAX,BI / Visualization,65,1.6109045848822798,3.727064220183486
GCP,Cloud,63,1.5613382899628252,3.612385321100917
Regression,Statistics / Analytics,61,1.5117719950433706,3.4977064220183482
Alteryx,Analytics Tool,60,1.486988847583643,3.4403669724770642
Power Query,BI / Visualization,56,1.3878562577447335,3.211009174311927
SQL Server,Database / Query,50,1.2391573729863694,2.86697247706422
SAS,Statistics / Analytics,46,1.1400247831474597,2.637614678899083
Pandas,Programming,45,1.1152416356877324,2.5802752293577984
Qlik,BI / Visualization,42,1.0408921933085502,2.408256880733945
BigQuery,Cloud / Warehouse,33,0.8178438661710037,1.8922018348623855
ELT,Data Engineering,30,0.7434944237918215,1.7201834862385321
dbt,Data Engineering,29,0.7187112763320942,1.662844036697248
Redshift,Cloud / Warehouse,28,0.6939281288723668,1.6055045871559634
NumPy,Programming,27,0.6691449814126395,1.548165137614679
Hadoop,Data Engineering,23,0.5700123915737298,1.3188073394495414
Oracle,Database / Query,19,0.4708798017348203,1.0894495412844036
PostgreSQL,Database / Query,17,0.4213135068153655,0.974770642201835
Airflow,Data Engineering,14,0.3469640644361834,0.8027522935779817
MySQL,Database / Query,14,0.3469640644361834,0.8027522935779817
SSIS,Data Engineering,13,0.322180916976456,0.7454128440366973
R,Programming,6,0.14869888475836432,0.34403669724770647
SPSS,Statistics / Analytics,6,0.14869888475836432,0.34403669724770647
SciPy,Programming,5,0.12391573729863693,0.286697247706422
