skill_1,skill_2,jobs_with_pair
Python,SQL,420
Power BI,SQL,383
Excel,SQL,330
SQL,Tableau,323
Power BI,Tableau,271
Excel,Power BI,262
Power BI,Python,253
SQL,Statistics,234
Python,Tableau,225
Python,Statistics,196
Excel,Tableau,185
Excel,Python,182
Excel,Statistics,150
Power BI,Statistics,148
Data Modeling,SQL,147
Statistics,Tableau,144
ETL,SQL,123
Data Modeling,Power BI,117
Jira,SQL,113
SQL,Snowflake,113
Machine Learning,Python,104
Machine Learning,SQL,101
AWS,SQL,93
Azure,SQL,90
Data Modeling,Python,90
Data Warehousing,SQL,90
ETL,Python,89
AWS,Python,86
Excel,Forecasting,81
Forecasting,SQL,81
Azure,Power BI,80
Python,Snowflake,79
Forecasting,Power BI,77
Looker,SQL,77
Excel,Jira,76
ETL,Power BI,75
Databricks,SQL,74
Looker,Tableau,74
Machine Learning,Power BI,71
Data Modeling,Excel,69
Machine Learning,Statistics,68
Power BI,Snowflake,68
Data Modeling,Statistics,67
Power BI,SAP,67
Azure,Python,65
Forecasting,Python,65
Data Warehousing,Power BI,64
SQL,Spark,64
DAX,Power BI,62
Databricks,Python,62
Data Modeling,Tableau,61
AWS,Azure,60
Git,SQL,59
Jira,Power BI,59
Looker,Power BI,59
Excel,SAP,58
Git,Python,58
ETL,Tableau,57
Python,Spark,57
DAX,SQL,56
Looker,Python,56
Snowflake,Tableau,56
AWS,Power BI,55
Machine Learning,Tableau,55
A/B Testing,SQL,54
Forecasting,Statistics,53
Data Warehousing,Python,52
Databricks,Power BI,52
Power BI,Power Query,51
SQL,SQL Server,50
AWS,Tableau,49
SAP,SQL,49
Alteryx,SQL,48
Data Modeling,ETL,48
ETL,Statistics,48
Data Warehousing,Tableau,47
Forecasting,Tableau,47
Data Warehousing,ETL,46
Azure,Jira,45
DAX,Data Modeling,45
Pandas,Python,45
A/B Testing,Python,44
Data Modeling,Snowflake,43
Jira,Python,43
Pandas,SQL,43
Power Query,SQL,43
AWS,GCP,41
Alteryx,Excel,41
Data Modeling,Data Warehousing,41
Jira,Tableau,41
A/B Testing,Tableau,40
Databricks,Statistics,40
GCP,SQL,40
Azure,Statistics,39
ETL,Excel,39
Excel,Power Query,39
Spark,Statistics,39
GCP,Python,38
SAS,SQL,38
Alteryx,Tableau,37
Azure,ETL,37
A/B Testing,Power BI,36
AWS,ETL,35
Azure,GCP,35
Databricks,Spark,35
Azure,Tableau,34
Python,SAS,34
A/B Testing,Statistics,33
AWS,Jira,33
AWS,Statistics,33
Azure,Data Modeling,32
Databricks,Snowflake,32
Databricks,Tableau,32
Excel,Machine Learning,32
Looker,Statistics,32
Power BI,SQL Server,32
Qlik,Tableau,32
Alteryx,Power BI,31
BigQuery,SQL,31
Data Warehousing,Statistics,31
Qlik,SQL,31
SAS,Statistics,31
Azure,Databricks,30
DAX,Power Query,30
Data Warehousing,Snowflake,30
Pandas,Power BI,30
Regression,SQL,30
Snowflake,Statistics,30
AWS,Data Modeling,29
ELT,ETL,29
ELT,SQL,29
ETL,Snowflake,29
Spark,Tableau,29
AWS,Snowflake,28
Alteryx,Python,28
Power BI,Spark,28
Python,Regression,28
SQL,dbt,28
Excel,Looker,27
NumPy,Pandas,27
NumPy,Python,27
Python,SAP,27
Python,dbt,27
Redshift,SQL,27
Azure,Data Warehousing,26
DAX,Python,26
Data Modeling,Jira,26
Data Modeling,Power Query,26
Data Warehousing,Excel,26
Pandas,Statistics,26
SAS,Tableau,26
BigQuery,Python,25
Data Modeling,Forecasting,25
NumPy,SQL,25
Pandas,Tableau,25
A/B Testing,Looker,24
AWS,Git,24
Azure,Excel,24
Data Modeling,Machine Learning,24
GCP,Power BI,24
Machine Learning,Snowflake,24
Power BI,Qlik,24
SAP,Tableau,24
AWS,Databricks,23
BigQuery,Tableau,23
DAX,Excel,23
Databricks,Excel,23
Excel,Qlik,23
Git,Power BI,23
Python,SQL Server,23
