week_start,weekly_jobs,hiring_companies
2026-01-05,10,6
2026-01-12,17,11
2026-01-19,22,17
2026-01-26,14,12
2026-02-02,11,9
2026-02-09,11,10
2026-02-16,18,17
2026-02-23,18,14
2026-03-02,26,16
2026-03-09,24,18
2026-03-16,21,13
2026-03-23,21,17
2026-03-30,30,27
2026-04-06,25,20
2026-04-13,18,14
2026-04-20,32,26
2026-04-27,33,27
2026-05-04,55,43
2026-05-11,139,54
2026-05-18,68,53
2026-05-25,43,37
2026-06-01,77,59
2026-06-08,94,64
2026-06-15,152,88
2026-06-22,184,127
2026-06-29,196,129
2026-07-06,234,147
2026-07-13,231,152
2026-07-20,356,220
2026-07-27,447,257
2026-08-03,590,306
2026-08-10,828,390
