week_start,skill,skill_jobs,weekly_jobs,skill_share_pct,rolling_3_week_share_pct
2026-01-05,Excel,2,10,20.0,20.0
2026-01-12,Excel,0,17,0.0,10.0
2026-01-19,Excel,3,22,13.636363636363635,11.212121212121211
2026-01-26,Excel,2,14,14.285714285714285,9.307359307359306
2026-02-02,Excel,2,11,18.181818181818183,15.367965367965368
2026-02-09,Excel,3,11,27.27272727272727,19.913419913419915
2026-02-16,Excel,1,18,5.555555555555555,17.003367003367003
2026-02-23,Excel,2,18,11.11111111111111,14.646464646464645
2026-03-02,Excel,3,26,11.538461538461538,9.401709401709402
2026-03-09,Excel,2,24,8.333333333333332,10.327635327635326
2026-03-16,Excel,5,21,23.809523809523807,14.560439560439557
2026-03-23,Excel,6,21,28.57142857142857,20.238095238095237
2026-03-30,Excel,4,30,13.333333333333334,21.9047619047619
2026-04-06,Excel,3,25,12.0,17.968253968253965
2026-04-13,Excel,3,18,16.666666666666664,14.0
2026-04-20,Excel,3,32,9.375,12.680555555555552
2026-04-27,Excel,3,33,9.090909090909092,11.710858585858583
2026-05-04,Excel,5,55,9.090909090909092,9.18560606060606
2026-05-11,Excel,14,139,10.071942446043165,9.417920209287116
2026-05-18,Excel,12,68,17.647058823529413,12.269970120160556
2026-05-25,Excel,7,43,16.27906976744186,14.666023679004814
2026-06-01,Excel,12,77,15.584415584415584,16.50351472512895
2026-06-08,Excel,19,94,20.212765957446805,17.35875043643475
2026-06-15,Excel,17,152,11.18421052631579,15.660464022726059
2026-06-22,Excel,43,184,23.369565217391305,18.25551390038463
2026-06-29,Excel,27,196,13.77551020408163,16.10976198259624
2026-07-06,Excel,33,234,14.102564102564102,17.082546508012346
2026-07-13,Excel,41,231,17.74891774891775,15.208997351854492
2026-07-20,Excel,53,356,14.887640449438203,15.579707433640017
2026-07-27,Excel,74,447,16.55480984340045,16.397122680585465
2026-08-03,Excel,104,590,17.627118644067796,16.356522978968815
2026-08-10,Excel,118,828,14.251207729468598,16.144378738978947
2026-01-05,Power BI,2,10,20.0,20.0
2026-01-12,Power BI,0,17,0.0,10.0
2026-01-19,Power BI,3,22,13.636363636363635,11.212121212121211
2026-01-26,Power BI,2,14,14.285714285714285,9.307359307359306
2026-02-02,Power BI,2,11,18.181818181818183,15.367965367965368
2026-02-09,Power BI,2,11,18.181818181818183,16.883116883116884
2026-02-16,Power BI,1,18,5.555555555555555,13.973063973063974
2026-02-23,Power BI,3,18,16.666666666666664,13.468013468013467
2026-03-02,Power BI,3,26,11.538461538461538,11.253561253561251
2026-03-09,Power BI,3,24,12.5,13.568376068376066
2026-03-16,Power BI,5,21,23.809523809523807,15.949328449328448
2026-03-23,Power BI,0,21,0.0,12.103174603174601
2026-03-30,Power BI,2,30,6.666666666666667,10.158730158730156
2026-04-06,Power BI,4,25,16.0,7.555555555555556
2026-04-13,Power BI,2,18,11.11111111111111,11.25925925925926
2026-04-20,Power BI,6,32,18.75,15.287037037037038
2026-04-27,Power BI,3,33,9.090909090909092,12.984006734006734
2026-05-04,Power BI,8,55,14.545454545454545,14.12878787878788
2026-05-11,Power BI,12,139,8.633093525179856,10.756485720514497
2026-05-18,Power BI,17,68,25.0,16.0595160235448
2026-05-25,Power BI,8,43,18.6046511627907,17.412581562656854
2026-06-01,Power BI,13,77,16.883116883116884,20.162589348635862
2026-06-08,Power BI,14,94,14.893617021276595,16.793795022394725
2026-06-15,Power BI,21,152,13.815789473684212,15.197507792692564
2026-06-22,Power BI,34,184,18.478260869565215,15.729222454842008
2026-06-29,Power BI,24,196,12.244897959183673,14.846316100811032
2026-07-06,Power BI,27,234,11.538461538461538,14.087206789070143
2026-07-13,Power BI,41,231,17.74891774891775,13.844092415520988
2026-07-20,Power BI,51,356,14.325842696629213,14.537740661336167
2026-07-27,Power BI,71,447,15.883668903803134,15.986143116450032
2026-08-03,Power BI,89,590,15.084745762711865,15.098085787714737
2026-08-10,Power BI,116,828,14.009661835748794,14.992692167421263
2026-01-05,Python,1,10,10.0,10.0
2026-01-12,Python,4,17,23.52941176470588,16.764705882352942
2026-01-19,Python,4,22,18.181818181818183,17.237076648841356
2026-01-26,Python,1,14,7.142857142857142,16.284695696460403
2026-02-02,Python,0,11,0.0,8.441558441558442
2026-02-09,Python,3,11,27.27272727272727,11.471861471861471
2026-02-16,Python,0,18,0.0,9.09090909090909
2026-02-23,Python,2,18,11.11111111111111,12.794612794612794
2026-03-02,Python,1,26,3.8461538461538463,4.985754985754986
2026-03-09,Python,3,24,12.5,9.152421652421653
